Phenotype,EncodedLabel
Plasma Cells/MM cells,12
CD4+Tcells,1
CD8+Tcells,3
HSCs,6
Unknown,13
MPO+,7
CD68+,2
Dendritic Cells,4
Adipocytes,0
Neutrophils,9
Endothelial cells,5
Macrophages/Monocytes,8
activated Macrophages/Monocytes,14
Osteoblasts,10
Osteoclasts,11
