,Adipocytes_Adipocytes,Adipocytes_Endothelial cells,Adipocytes_HSCs,Adipocytes_Immune cells,Adipocytes_MPO+,Adipocytes_Osteoblast lineage,Adipocytes_Osteoclasts,Adipocytes_Osteocyte,Adipocytes_Plasma Cells/MM cells,Adipocytes_Unknown,Endothelial cells_Adipocytes,Endothelial cells_Endothelial cells,Endothelial cells_HSCs,Endothelial cells_Immune cells,Endothelial cells_MPO+,Endothelial cells_Osteoblast lineage,Endothelial cells_Osteoclasts,Endothelial cells_Osteocyte,Endothelial cells_Plasma Cells/MM cells,Endothelial cells_Unknown,HSCs_Adipocytes,HSCs_Endothelial cells,HSCs_HSCs,HSCs_Immune cells,HSCs_MPO+,HSCs_Osteoblast lineage,HSCs_Osteoclasts,HSCs_Osteocyte,HSCs_Plasma Cells/MM cells,HSCs_Unknown,Immune cells_Adipocytes,Immune cells_Endothelial cells,Immune cells_HSCs,Immune cells_Immune cells,Immune cells_MPO+,Immune cells_Osteoblast lineage,Immune cells_Osteoclasts,Immune cells_Osteocyte,Immune cells_Plasma Cells/MM cells,Immune cells_Unknown,MPO+_Adipocytes,MPO+_Endothelial cells,MPO+_HSCs,MPO+_Immune cells,MPO+_MPO+,MPO+_Osteoblast lineage,MPO+_Osteoclasts,MPO+_Osteocyte,MPO+_Plasma Cells/MM cells,MPO+_Unknown,Osteoblast lineage_Adipocytes,Osteoblast lineage_Endothelial cells,Osteoblast lineage_HSCs,Osteoblast lineage_Immune cells,Osteoblast lineage_MPO+,Osteoblast lineage_Osteoblast lineage,Osteoblast lineage_Osteoclasts,Osteoblast lineage_Osteocyte,Osteoblast lineage_Plasma Cells/MM cells,Osteoblast lineage_Unknown,Osteoclasts_Adipocytes,Osteoclasts_Endothelial cells,Osteoclasts_HSCs,Osteoclasts_Immune cells,Osteoclasts_MPO+,Osteoclasts_Osteoblast lineage,Osteoclasts_Osteoclasts,Osteoclasts_Osteocyte,Osteoclasts_Plasma Cells/MM cells,Osteoclasts_Unknown,Osteocyte_Adipocytes,Osteocyte_Endothelial cells,Osteocyte_HSCs,Osteocyte_Immune cells,Osteocyte_MPO+,Osteocyte_Osteoblast lineage,Osteocyte_Osteoclasts,Osteocyte_Osteocyte,Osteocyte_Plasma Cells/MM cells,Osteocyte_Unknown,Plasma Cells/MM cells_Adipocytes,Plasma Cells/MM cells_Endothelial cells,Plasma Cells/MM cells_HSCs,Plasma Cells/MM cells_Immune cells,Plasma Cells/MM cells_MPO+,Plasma Cells/MM cells_Osteoblast lineage,Plasma Cells/MM cells_Osteoclasts,Plasma Cells/MM cells_Osteocyte,Plasma Cells/MM cells_Plasma Cells/MM cells,Plasma Cells/MM cells_Unknown,Unknown_Adipocytes,Unknown_Endothelial cells,Unknown_HSCs,Unknown_Immune cells,Unknown_MPO+,Unknown_Osteoblast lineage,Unknown_Osteoclasts,Unknown_Osteocyte,Unknown_Plasma Cells/MM cells,Unknown_Unknown
TS-373_IMC77_B_001.csv,0.05494917030833821,0.006038868409174645,-0.026232316983069725,-0.057747946448955596,0.014984781044070746,0.014525511894705767,-0.012123816949206447,0.30996895944374636,0.009795585212648217,0.06159184197161668,0.005550950032538996,0.04400638564761408,-0.007780669706411239,-0.041300517563290735,0.00561790129414707,-0.002610466480178998,-0.0035085792256922474,0.008569810843971083,0.08635381125712033,0.033492080080924504,-0.028887538271814846,-0.006729668035728355,0.03553249758127751,0.010584986628997796,-0.011341247274067745,-0.003685087253748677,-0.004950288664834087,-0.021713959213742716,0.029599543110570694,-0.00723242308778053,0.06538486404482358,0.05289371077502368,0.1968699833030708,0.9365979516904109,0.12363130562959579,-0.0014736834853500817,-1.0668046734018364,0.33131467326539144,0.257722370697763,-0.02465462469662652,0.042386723459473453,0.03816301574990255,0.06733959219916796,-0.1273121684907935,0.2989006755922364,0.004022519839919698,-0.1260800021488797,0.11840607049755336,0.16517480101449955,0.0876924965306453,0.018384008917464327,-0.0023747874377424067,-0.003771158810017848,-0.018374467665203977,-0.004953018861309406,-0.0019766917591349698,-0.0023747874377424067,-0.006822282980548562,0.005732828976556828,0.033067755393412925,-0.010834398204056272,-0.0035975984240214118,-0.0044190746091362,-0.08847923365583267,-0.0417763098341376,-0.001211117579948465,0.11091424748840258,0.019383820891773,0.010855364784067284,0.02955542295536313,-0.007379955393690669,0.02309693829312954,-0.019042879616981565,-0.19658869961753003,0.02109845367006257,-0.007383514200778993,0.08418640001026138,0.297826364469191,0.014699521713596437,0.052520583519684715,0.020343812490657146,0.006928077216688198,0.02222497481009665,-0.14382158644587584,0.08350121519079892,0.008004436153527951,0.03991359696859225,0.21071555922071966,0.3646214788175619,0.020137893187862688,0.10002237828220589,0.07749540544165706,0.25931259028125575,-0.3229637432492835,0.14031198050685306,-0.0012695703204104467,0.21366669906079183,0.20386401645104596,0.2201310894396889,0.5744599913747803
TS-373_IMC03_MGUS_002.csv,0.005190200412993835,-0.003806120974001054,0.048617748627654174,-0.027102902846258756,0.002522530618320592,0.0017826386328764817,-0.006824744110362169,0.10724249799880312,0.029947316815223394,0.04105062042291017,-0.0035662875782501626,0.2086307907379177,0.06791157046504497,-0.10246608571113494,0.005515501298239167,-0.003143195131769428,0.02302340235825084,0.07105069051788629,0.04216514210690754,0.03334804925066454,-0.0054748637471313906,0.05020912528578269,0.1265490105634905,-0.0052646439388711165,0.027867943993124984,0.02139022511296574,-0.01778248775093993,0.07254866832637633,0.02907540687471495,-0.024781075188656666,0.04556417257129459,0.12642599987588318,0.19371228909792484,0.5390409289573784,0.12895807568813036,0.022977666393024128,0.4566901968851164,0.34806916443653896,0.03195399957191227,0.12822860848824033,0.016665751002385654,0.0883894205339251,0.12145392194516837,-0.06651144754291498,0.2921246202013329,0.060558176585571166,0.23881562445767446,0.22836040472826982,0.05256728114643908,0.05004808311854192,0.0014570281816934218,-0.006203567907559736,-0.01203171680508642,0.015270254529256544,-0.003979579548757938,0.004893805100643067,0.01981377486613838,0.025522381708049855,0.032475343026835864,0.006161835823857229,-0.007390274556442838,0.01004867155295866,-0.019464299280515383,-0.02663532592800589,-0.010066712120323635,0.01853871434247051,0.17202660882115928,-0.020985281378503393,0.008110695943637572,-0.05475760473250408,-0.005816487250678185,-0.014940948188225682,0.016574042896129387,-0.19276347722075304,-0.0020921137423121584,0.07335025592011216,-0.02201640494890678,0.6650619240747936,0.04823200303968991,-0.008832625708291028,0.02324372298438611,0.13713181576350755,0.06323705132829856,-0.050525216590376384,0.050317166261655014,0.02352725319455657,0.04225149705772931,0.2566833349455381,0.17221119463474,0.09788360308931532,0.026411827129866308,0.12806248841638834,0.04861194825888421,-0.10418475266883995,0.04747395948195668,0.06915383935710723,-0.7083237211224337,0.21047984684027435,0.0650994618816185,0.34411507938586355
TS-373_IMC04_MGUS_002.csv,0.09267365459038095,0.018563146296632135,0.041496448193309735,-0.11332305645748207,0.011488714849231762,-0.0013660008959746404,-0.01277779654677855,0.06495496951333023,0.06603244239831457,0.058969549274663566,-0.0030252911912734995,0.03893719804117812,0.02630743239818383,-0.08083922030712064,0.04249244724824522,-0.048836171518862825,-0.010703959613313423,0.02867738184964036,0.026478532608573968,0.013121358210332638,-0.009286989586585468,0.027947500636884753,0.07204520231478884,-0.0007922800723008915,0.08950766178791289,-0.001954403119484796,-0.018627095449185137,-0.17573347589646757,0.043075644695496317,-0.03161671868854438,0.050278655737344725,0.09499373974536346,0.1017939148045047,0.627676020326892,0.14331033415595582,0.057104489385344126,-1.0921732325143205,0.42792536795852704,0.12848515990484705,0.03293784101792981,0.035590783819902876,-0.009035760709947702,0.013106669999044444,-0.07992658531537788,0.14302162979900734,-0.006274620576979076,-0.03181460838458978,0.03703531357556359,0.0994675932654087,0.06595837409597295,0.0145732743716638,-0.044410678433053394,0.013384790615820739,0.031593639328304925,0.00896604377911789,0.0031263174529825724,-0.009168863586329705,-0.03688962710414725,0.029221442832251962,-0.003478391277186635,-0.012175360622964867,-0.009749419516325504,-0.01883761783595089,-0.11605018255670822,-0.031199845861310502,-0.008890422350010427,0.12289676176213818,0.045702276324453756,-0.050665948945927144,0.06364594163168939,0.01983055378780833,0.0023510397048788793,-0.12560025121507534,-0.21322324888121957,0.05101276567885247,-0.04177213674370837,0.019191595023260354,0.13692063227204673,0.04393769210723563,0.0785678318515088,0.04978761684324063,0.07631184173562323,0.1368757524354359,-0.12868574169194633,0.07037007373030037,0.026392250736811094,-0.1274964729731202,0.06228924959941278,0.22613882738436863,0.036941926827261974,0.11115472146124987,0.08734865111378819,0.024307061683624568,-0.25243804886765975,0.07731162496893197,0.031166647889654814,0.1829787169933378,0.38869127147010135,0.10549636665113955,0.5136924896851003
TS-373_IMC72_MGUS_001.csv,0.09143958875824809,0.023675839108233652,0.01957636138876019,-0.1207325934053635,0.03048805663865862,0.0024220321515858365,,,0.0372347766056107,0.02276140365304832,0.02987192571563858,0.03424903326474062,0.10570104241281172,-0.12830474137712763,0.026823112228914696,-0.013530738257211189,,,0.04355838841824331,0.003249499867205006,0.02567555467863992,0.0690742734209587,0.1493247744464293,-0.09607608366980068,0.05433318333456403,0.008564996845316591,,,0.07673487009958958,-0.0329456085293443,0.16455138568445576,0.14354088217110048,0.22448099255739185,0.5441690721467188,0.15568343477921873,0.08761476917569701,,,0.24290913378801265,0.03390977005946111,0.057710123603188175,0.016741712024666382,0.03424194650384605,-0.12403761201323514,0.046995753972856866,0.04641472482524197,,,0.05478146032395815,0.055124841442089324,0.001709968598231112,-0.01513050542261568,0.01525896299692063,0.018527508328290594,-0.00031865672895773197,0.015044284413666436,,,0.011937599195065728,-0.0021497450013811914,,,,,,,,,,,,,,,,,,,,,0.11039819897259655,0.056251330819231976,0.17189807078684258,-0.13199016300850977,0.03974556123106786,0.11519901819626457,,,0.2446524686402209,-0.00662949736768152,0.16285477853204963,0.12794082933857515,0.1265734571246649,-0.2894381899798916,0.17788564659151765,0.027115924245916048,,,0.12193007376249047,0.4156582624182257
TS-373_IMC12_UB_001.csv,0.017522051927883982,0.03651688759339279,-0.005331267154410282,-0.02000315325314896,0.02104416090054138,0.07443287857545189,0.02061954754881922,0.02331532449533549,-0.01177561104041649,0.06422070125609756,0.043957845897291625,0.11881443039208116,0.07185937037680988,-0.025100277487428373,0.043068801520974156,0.11653341495992821,0.009418689519902244,0.00285168178013706,-0.06995791071564375,0.09316112912860726,-0.0017427174312728512,0.08176367003352963,0.048721976380851614,0.054362991118750814,0.021445368832407878,0.0009002031464596109,-0.009552897511696988,-0.01776481280493309,-0.07552608501026777,0.005295516943734521,0.09583598865140829,0.10326299807714763,0.09291017080368813,0.4668380249911847,0.11279720195008008,-0.01297179364896163,-0.001387561171806162,0.5437537602391331,-0.10885494694921759,0.1087916351885258,-0.00752182946680596,0.0851949133572963,0.02311197447259837,0.012083367519768826,0.2075976815378336,0.0733999065929444,0.006731500477830323,0.02627796493060145,-0.08776762820160192,0.14954790817879537,0.002597161149077368,0.04478166739188072,-0.0020731808357345102,-0.005666232332126419,0.031630037756742634,0.030646246239951453,0.031344403731903836,0.016362044347080024,-0.03255732322559795,0.016664437418728847,0.051059133264652896,0.00577444309750185,-0.00858156863403162,-0.030482121020048176,0.014281200133044476,0.1073822726365942,-0.0015774153280866169,0.05693001977660916,-0.01762077875378626,0.006835162310632232,0.021722219794533884,-0.0022369359933867494,-0.020077690430822102,-0.05540762006438023,0.016679042913519408,0.031057119406936173,0.0652485795222436,0.06252384193844268,-0.05032480678579918,0.03504057662266021,0.04928408004726518,0.11820844185376922,0.108752022827054,-0.08946845384326103,0.022871329837252055,0.08171695253542816,0.2331592976183811,0.13571371157484904,0.5878052345951297,0.10018249692485277,0.057167312653612724,0.06512232903580031,0.03723832654562534,-0.05587593526733305,0.20455912696965323,0.16414471126942384,0.013896793312435747,0.13634286716590932,-0.061340110011611826,0.2724545340866838
TS-373_IMC86_B_002.csv,0.07439583647746957,0.04702546331178253,0.010169454239744927,-0.12066974868397869,0.03025470413210307,0.004624731838545645,,,0.02820883579386783,0.03685301561575444,0.03150582386385619,0.044818238312881946,0.0660326395369446,-0.09194333789570301,0.050305495177102796,-0.011802017420758596,,,-0.012278976656438824,0.027106156744752006,0.03573293120242384,0.04258476254880714,0.08657728646338753,-0.05617639964661895,0.06191788863500044,0.006707301541937482,,,-0.005581223488142867,-0.020310465339628814,0.1022908900630311,0.09266467371378019,0.16344525878036495,0.43513451849066587,0.2021421932203738,0.011488408387077131,,,0.0637627899460955,0.12866574055456648,0.06655109117890513,0.010901669519847479,0.025675531948034323,-0.1286217291541127,0.18994766394369578,0.0015201867191494466,,,-0.004014176966690965,0.05282612420653916,0.00264757343772779,-0.013831486994330299,0.00537117080468916,0.027030165313106928,-0.005606569850437814,-0.00524205036175932,,,0.007622438716669705,0.0008032536800471531,,,,,,,,,,,,,,,,,,,,,0.0749583644685649,0.021306897853510802,0.08328174594725186,-0.046112111995172594,0.03710573273301925,-0.0026336313847305213,,,0.16828646528625987,0.04978356757985346,0.13935471123199808,0.10287810625332729,0.007878128490140008,-0.3066407491717161,0.13693913831433252,-0.0027954432002355698,,,0.028586119294687923,0.4361009603541349
TS-373_IMC42_B_001.csv,0.006835445235785305,0.07601413847975773,-0.011231433337755363,-0.0492440285054519,0.05019247092786503,-0.016116580202172718,,-0.010514001031342675,-0.01445174901016123,0.10601652651061022,0.015906260989196088,0.2084655846608072,0.05077835762250955,-0.12092048940199152,0.09133549296609195,-0.0012330442310504116,,0.0015972794533615593,0.050378032840187464,0.08002279540956377,-0.004123031904539738,0.060517978026909405,0.11440190441919604,-0.04044938857180833,0.102572330940242,-0.00240911301174527,,0.001319064165603186,0.08550535917275955,0.05995074032046829,0.04632542275506644,0.12900850444400644,0.10039889342870027,0.4813208174105713,0.15889174958281166,0.044115346194395916,,0.2981411118996478,0.26300544255752917,0.2295519498731586,0.053157852205590085,0.09531695693602721,0.08823921634919733,-0.1004766699473241,0.3814997875023547,-0.005086086410530172,,0.10765856607702885,0.00315939666256627,0.12316164739034463,-0.01622336525970006,0.020441767501965736,-0.007934900168697955,0.040530743321037926,0.002561955112483824,0.008100096558663887,,0.014046482384223022,0.03789410684693506,0.037838694626855726,,,,,,,,,,,-0.011082674110917637,-0.0010385636748613326,-0.0038594049239730134,-0.061005275067442785,0.017643200595949923,0.014795975861497305,,0.092836757137941,-0.02584130704422104,-0.0007992066645027023,0.05079313344911946,0.07875173457271355,0.10107561628602382,-0.13666930421199905,0.02119256268765677,0.028973421285758895,,0.32813199169747626,0.5739608368369515,0.09180148539393819,0.07111384599830986,0.192000872417996,0.021786377874960655,-0.034282296838123415,0.16631540258658606,-0.004854707434940899,,0.4874824772435949,-0.034622407797867204,0.3999488478456399
TS-373_IMC35_B_002.csv,0.05289494721971831,0.01619042791873364,0.014286732643771768,-0.048249231269644456,0.022085607210657974,0.1202620248980818,-0.009249254808431088,-0.07557770036555768,0.012583859939019091,0.021807225013591693,0.01622998149696162,0.015192612814549242,0.012135195129450002,-0.06690078456753053,0.07348487972770494,0.009733874365086926,-0.007174029496369307,0.00497359050708197,-0.022931158252852194,0.042152143397854294,0.025774083704699403,0.020222511758341933,0.019552945510525156,0.01788059475207344,0.030870901186442094,0.0078068317144842974,-0.004161122597966778,0.010441948111177492,0.007620801088539216,-0.015872509492797827,0.1275373046504389,0.10290486806444422,0.052369010294240376,0.5145273974606128,0.08087001995879385,0.1317845144536852,-0.0030427909914817323,0.1704762076398631,0.1465778606159058,0.01577414143412633,0.009410185072605102,0.07417387754630284,-0.003925306717505299,-0.05934600807076109,0.23574697715045692,0.04956453770371673,0.04021421822886251,0.07302444611587308,-0.007526854983854018,0.07565017476712092,-0.005613196989686262,0.01740609951783716,0.008969401610703162,-0.057068566225204564,0.0670052833344026,0.021214866095169135,0.020311260336882065,0.03239489223683028,-0.020009905992263773,0.08213158580452452,-0.009904414438464064,-0.007313235905086315,-0.004909194105737871,-0.051320886922653214,0.02370734524129441,0.036704024464076467,0.08779467273749886,0.029082054380719334,0.0012762561988585704,0.018371436729719182,-0.08290406589540683,0.005506646475197694,0.010521028179880852,-0.13791783210594613,0.00869028564220941,0.05210816055090778,0.05503498920255223,0.07501285957015952,-0.0172625288350111,0.017992984859326256,0.09038471155462396,0.07361916248543751,0.0350971407211782,-0.09664518555533191,0.06156404812075833,0.09379665790875447,0.10390869214347252,0.191052671975993,0.5461358400760472,0.03968925254165743,0.057999037496341985,0.15046216560402778,-0.005669657738001769,-0.17131630305388695,0.13908828822889735,0.214553923150783,0.3131360396760188,0.3634066937226544,0.012770529543571994,0.3857274991595053
TS-373_IMC38_B_001.csv,0.029069010807078785,0.059529093240370486,0.03551799179140151,0.009769967809984,0.1036630230450448,-0.011766985496755967,-0.0030844800087394533,-0.014900803084089899,-0.008483587419296676,-0.007771146981761987,0.05615351780444319,0.10051267340701672,0.056364096874434465,-0.03027299230566673,0.0710355590259398,-0.038859254101346594,-0.006084449723696073,-0.07233158626171346,-0.02864712880246902,0.039625416963977284,0.026736913867680026,0.0014834920642547208,0.05071292781874077,0.05152113378840233,0.06185212541164736,0.006465276811698667,-0.005624912237406944,-0.055904872559166215,-0.08544720479763451,0.02332421258221349,0.1537698255953536,0.10342143436840286,0.08391391872401385,0.27362143849967213,0.2298679033298452,0.03516097816145825,0.007619377901074429,0.09480885888880136,-0.16913582601583488,0.11312935164435374,0.020704352664790815,0.009318419424528462,0.015248395926406906,0.043817259727260416,0.3173127083891514,0.02702423426184082,0.021468995557622814,0.14687995739789522,-0.20936773908454284,0.10183607941332017,-0.012177318059239023,-0.034377132749349684,0.03270798538459091,0.04358257437177874,0.017895575926633683,0.04498983353716006,-0.001142109711319841,0.03843143048259196,-0.08008196641267243,0.038296980870275006,-0.002967096602913302,-0.0060478269657881145,-0.005366801706149236,-0.004874435260511808,0.016098415108491703,0.0,-0.0008062418998291031,0.0975885799734664,-0.009400633321407894,-0.005862734299516829,-0.01711493392560688,-0.04659843777085586,-0.04160630765078023,-0.03892739458026587,0.04676700246435476,0.050739817572302996,0.0975885799734664,0.05810866338475575,-0.051238390892894024,0.02234816562250178,0.1236758014965598,0.14127244802048902,0.10868553220798802,-0.013259465599182091,0.18018272338228267,-0.006150311262103876,0.0014011459030111666,0.15539689011296298,0.5379054651324512,0.033927874861598886,-0.004694293318570554,-0.005140507297195924,0.023835931880363165,-0.010670752230374883,0.20848152116552052,0.01731937391059412,-0.0047326639242844595,0.012205589523563454,-0.09410261888807367,0.2857197858527352
TS-373_IMC90.1_B_001.csv,0.014532976288177952,-0.012261180230032049,0.003865391277506065,-0.028547912432948203,0.013452926953852133,-0.00929488825335796,-0.001796351915700332,-0.00575034228019325,-0.001447156780566222,0.05360916950905667,-0.011507371283151097,0.007237611223376543,0.000921790676797822,-0.016641985375408744,-0.010043171067040082,0.011938052797881453,-0.001923666488660668,0.017612810340609193,0.020399305154799745,0.05063492000404396,0.004328392896343545,0.0021450476476673756,0.05774961417573394,0.09195273842322202,0.012591651669604237,0.004877641569416644,-0.0035041272512859926,0.011777880616899581,-0.022505474625436516,-0.0029768800356758645,0.014994220776766319,0.10323984377228299,0.07088989816921895,1.0024730410544014,0.11996827205200021,0.007725356838892815,-0.06593462422616725,-0.003053847767437174,-0.3273835224025646,0.18416133008203112,0.054734870383200254,-0.003982185408911437,0.0025466435055487534,0.0757569495246889,0.11598875301341822,-0.0021782625938019883,-0.00748772036996479,-0.03415076273624192,-0.08334381831741067,0.07483745939652893,-0.008361064045491839,0.022863926246767453,0.004107645072959629,0.01399107237235188,-0.0061624330045290995,0.015954660882225895,-0.0023723053636815704,-0.004624004605286677,0.018495673229228352,0.011851837739000304,-0.0011680424170953305,-0.0022673764567144655,-0.003945308049319573,-0.027535239622047278,-0.0063780890596714275,-0.0020438591887053646,0.0,inf,0.01403069753813234,0.01349347280004455,-0.004901415196974377,0.02782679750458663,0.009623759795077229,-0.05487389629177554,-0.025709780523946575,-0.0056935328728357675,0.09997515163113767,0.03553713843670705,0.034593403408478426,0.05988914616743866,0.009534654606418398,0.07664014365542397,0.03102458500046703,-0.2757216874637387,0.08125805653281189,0.009867628760243318,0.0030220375210404087,-0.0036954190561533395,1.2051307974825474,0.2899865337411449,0.04409157849014347,0.02950347349749312,0.039798258864321125,-0.06469859999139027,0.10583127643929223,-0.005281219819928523,0.009165205065826031,0.01350345953929988,-0.10966472249051257,0.5664191381211869
