,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,6_0,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,7_0,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,8_0,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8
zscore_TS-373_IMC87-1_UB_001.csv,138.35246954748408,-2.230195816487285,-5.263820010545584,-4.4193045571358684,12.206272053294121,14.753062692144525,24.490477282407724,3.865776152093826,,0.2068258035151273,132.79279133846202,14.454198725319388,22.242822093723834,-3.351417733820262,19.95827876033905,25.744058629959635,18.125067561919394,,-1.4519388876691528,23.702546350614192,149.04742142572638,28.630841153124123,-1.4423180668309694,23.363191277510094,19.176834234347805,18.83553190717816,,-9.27594882145691,15.341835339662719,-1.5713707994055512,75.83382798572325,-4.202677966900004,20.577748329282816,-0.7397970553072583,-3.252759892761454,,32.070935342631145,22.59283755715487,21.229019273584683,20.092911441296415,124.15459285900727,27.924064045808244,7.811110097954256,23.315006035357463,,-4.69810127181411,23.875496067828045,15.394463992995945,31.772684630603358,2.713196581097438,112.37731332674333,-1.3141851617981917,15.601462019280286,,21.12308882293227,-4.962056439965205,5.340062717578072,-1.082962339038971,-7.714081733164932,-3.6974851500877914,25.276404924633244,-1.9657990205608669,,-4.335062703425776,21.293828617496555,18.57471376293359,-4.062590121503924,3.338430374890883,33.2060224979597,11.394228500425086,125.0599358561697,,,,,,,,,,
pvalue_TS-373_IMC87-1_UB_001.csv,0.0,0.025734445881321448,1.4109258563142683e-07,9.901902330197419e-06,2.877755079431605e-34,2.940134256753791e-49,1.865925968051695e-132,0.00011073647055311408,,0.8361459035455436,0.0,2.3585858304951565e-47,1.323640566886224e-109,0.0008039892277976812,1.270121241585615e-88,3.757101511083312e-146,2.0209471687661205e-73,,0.14651859846460363,3.3941516132309966e-124,0.0,2.776780316167612e-180,0.1492126657121351,1.0121542532425135e-120,5.77938142818328e-82,3.862272424156194e-79,,1.7604510370917197e-20,4.0167574050456964e-53,0.11609654459816035,0.0,2.637757198413659e-05,4.343958883501261e-94,0.4594231460658572,0.0011429002686129408,,1.1212987604948307e-225,5.096668930293563e-113,5.152656836806101e-100,8.512137239164644e-90,0.0,1.3618116836621914e-171,5.668646938021716e-15,3.122825385905939e-120,,2.625912280380094e-06,5.505099371716292e-126,1.7829580544937796e-53,1.5436886653284456e-221,0.0066637562427130335,0.0,0.18878390064104333,7.114596797336633e-55,,4.879762942977e-99,6.975071936020286e-07,9.291443211569799e-08,0.2788251397466722,1.2185636799482797e-14,0.00021774595292907417,5.806356890999201e-141,0.049321831002297874,,1.4571857989313534e-05,1.2950362151627584e-100,5.147886614363473e-77,4.853120159802598e-05,0.000842531420632142,8.812753706555408e-242,4.467698611194391e-30,0.0,,,,,,,,,,
zscore_TS-373_IMC53_B_002.csv,102.30312142520717,8.11793115431369,16.472204512494034,2.448643915885601,1.57519190967463,25.71035164582186,21.35214041814341,14.147046550291051,26.202506338063714,-5.436099883887481,46.902959348169134,8.469646573357814,-0.11341764335761002,4.006852755491649,12.228577609762512,-5.076004621411038,6.946190004368031,0.5379773279473603,-5.917375782880633,13.650896827902145,24.11359729050739,0.04185760490974192,1.4304154247508147,1.6368028568672863,-1.4424644042731212,2.1956998787330546,0.8266850990928741,-2.2557095960721063,-0.35726601246982354,0.0027854529866653452,4.288032857929682,1.5038369953083732,2.741157560252854,-3.829842288402515,-0.7925601329802696,-0.6678899090606635,-22.46621805766951,23.198599519006475,35.31382529908281,17.061677819528175,91.52176933997448,23.76059866243271,-11.274625898568688,28.43305074470551,17.057875634254483,-9.4174194537342,10.567664755278013,15.013128660622396,3.780451967693707,8.753323555173067,12.638964981664827,-3.0331628831345405,2.8779137809520354,-1.1168223104985837,-8.376643486124793,5.22366065259918,23.677807548226667,-0.8197725291406357,-14.763924826639943,10.575930060669513,100.54416650504571,10.924041196790112,-46.261924842572576,-11.54333039680429,14.879288183939563,4.98615135048713,7.895741932091223,10.012162087598556,5.623584317385421,-1.1421042249670532,44.8729396875759,2.1264891414014793,-3.1532783298268288,0.37063572866813305,0.7180644611227831,-0.6537824012508904,0.04150927099831155,-1.1416256815354193,-4.929711629723497,1.4374456647679872,7.1810018353067
pvalue_TS-373_IMC53_B_002.csv,0.0,4.741976520978646e-16,5.811344981888031e-61,0.01433951317184887,0.11521215406888183,8.954359607675235e-146,3.7248230077172416e-101,1.9476690609939643e-45,2.4882562808524743e-151,5.445943379440121e-08,0.0,2.4613871378608462e-17,0.9096994525875477,6.153319678054758e-05,2.187352719376024e-34,3.85453921017151e-07,3.752832541764682e-12,0.5905927010153169,3.2711873698936943e-09,1.9940924875997064e-42,1.8000691158501816e-128,0.966612213137468,0.15259782380053133,0.10167166863030223,0.1491714063679585,0.028113431860753886,0.4084155692911028,0.02408882420707762,0.7208926713616735,0.997777532941025,1.8026243249059746e-05,0.13262334291332803,0.006122314127454289,0.0001282254120291297,0.4280341438876648,0.5042038691806672,8.88423057172541e-112,4.703859785719572e-119,3.6028874307029945e-273,2.8621513901167876e-65,0.0,8.538016206469933e-125,1.7512141225305018e-29,7.896206837267431e-178,3.054632761932692e-65,4.6231017580748335e-21,4.208434164959424e-26,6.023802646646032e-51,0.00015654391928964482,2.0715966385548e-18,1.28737418051972e-36,0.002420049372790805,0.004003145327277238,0.26407030753509564,5.445849151031872e-17,1.7542013217442295e-07,6.105323029416914e-124,0.4123457941959706,2.5028175506606185e-49,3.853350729820046e-26,0.0,8.846979904803048e-28,0.0,7.977550957444028e-31,4.492537688667415e-50,6.159390086829117e-07,2.8859327920830584e-15,1.3477439067167753e-23,1.870354061523189e-08,0.2534106994905283,0.0,0.033462552443428065,0.001614477930119001,0.7109088668420196,0.4727175417462538,0.5132520062574819,0.9668899020376971,0.2536096443777064,8.23510834931912e-07,0.15059140134002363,6.920242353766844e-13
zscore_TS-373_IMC47_B_002.csv,105.49131718485167,18.96339052897958,17.958523719192918,14.372005684430912,-10.391667788593363,10.710987673878918,31.56135457321444,-1.737331278675099,0.048966872588177425,-10.23655114684889,68.45310072865895,10.782600062753856,3.701297811478265,-3.376176347472895,10.483436219135568,-3.232310114126603,9.512093877901638,1.408355899033323,-8.955637353499892,12.79647582307523,68.78048361008341,45.16727806022184,-4.738904146852741,12.427370258342615,6.322039642506806,7.861513016207661,1.4302661904909082,-0.0714703810709276,3.9865988139455997,-0.22115757283419887,1.773904869874757,-1.205892427411273,8.522586900835838,0.010086503083052428,0.3112276607881023,-0.28767293234646435,7.674194577534308,34.29406615622927,35.293525450055185,10.47959778593146,102.1933832423144,35.57355714389792,3.4868984257112587,33.58475707340682,-inf,-11.221044038022226,17.710595973237602,16.179414585116245,22.69213926231961,-4.589672969779891,63.771306455472946,-0.2041095227836247,13.685228667435148,-1.2729768183649308,9.771548678318169,25.992749456273707,-1.831336983030201,19.42189229794529,-13.696800956269524,2.292361627542,94.15441780696283,8.414275692577231,0.5095447520500399,-6.191380998566504,16.528725991165935,13.843498143245071,5.635607636464076,-2.1348173525251966,13.054328695814267,1.9570704098331728,73.12007521854471,0.6888174530077437,-1.2975166344531361,0.9652847675018524,1.8712881979454488,-0.2307199352801982,-3.393938357761011,-1.2276554531629205,0.06778021934803505,0.3016209019693484,9.933277404764251
pvalue_TS-373_IMC47_B_002.csv,0.0,3.4234673632319975e-80,4.116101092504557e-72,7.755233949428022e-47,2.705797637819832e-25,9.039224211223527e-27,1.2526644809352491e-218,0.08232871358195029,0.9609456961006102,1.3599812211188031e-24,0.0,4.159591358374361e-27,0.0002144995408247264,0.0007350079208305855,1.029343530532417e-25,0.0012279371558690953,1.868627769812417e-21,0.15902571103570573,3.377785672322156e-19,1.715619432383522e-37,0.0,0.0,2.148771120932001e-06,1.8564135013596515e-35,2.5813313205415033e-10,3.7952098570477705e-15,0.152640634519773,0.9430233967403291,6.702721975206146e-05,0.8249697432636784,0.07607888709191206,0.2278589708447084,1.5602850058609754e-17,0.9919522713771314,0.7556275562433509,0.7735971114074145,1.664612394856411e-14,9.62010380172786e-258,7.381441582766141e-273,1.0719867264410902e-25,0.0,3.5927007812154503e-277,0.0004886569116362084,2.800550073772679e-247,0.0,3.2145279505420946e-29,3.473747898371588e-70,7.046118954430386e-59,5.356795070785703e-114,4.4394099256843794e-06,0.0,0.8382679128800027,1.2441513915904016e-42,0.20302626801716417,1.4915441162151058e-22,5.98097169185047e-149,0.06705026082427241,5.039826436222191e-84,1.0609670956959667e-42,0.021884784355063674,0.0,3.953299621595174e-17,0.6103704381312173,5.963935581994978e-10,2.279099948027843e-61,1.3926102728845776e-43,1.7444214615992878e-08,0.03277593230689274,6.003690272552741e-39,0.05033919079642554,0.0,0.4909381510759221,0.19445348539095708,0.3344021991916454,0.061305145500843594,0.8175323852065958,0.0006889519835536097,0.2195763356116388,0.9459605902178223,0.7629410722009594,2.982868191112392e-23
zscore_TS-373_IMC83_B_001.csv,58.50339025532242,-1.3859044305595365,-22.68931367589195,-17.33287517316387,18.9344206789415,-12.311236766275487,9.667741088563503,-3.1383779272180377,,-1.7271705129330188,48.71544747531146,4.417213792430969,-11.939606124351053,-1.7807354895613072,0.10221487654128565,-5.742983512744401,9.409374477054143,,-15.560511451856557,9.154352886474767,32.74823644206065,-8.269042279568104,-1.4148152759693016,5.701247388974255,-3.253080190471809,13.654323241610397,,8.46707624550342,44.685653072313585,23.302805193771622,128.5109742120265,28.170566737409114,4.429912747419165,-1.0344077572770154,11.015165014828117,,32.32816008905451,22.902157564870613,17.809546205555982,-30.271165596981028,94.60991113200626,0.1042060076909901,-0.47529106400997684,20.631679687083754,,7.25849484549319,37.30248719381625,33.22550079634155,-30.791775491104048,25.452731670559317,90.17519749424797,-0.7210837857738548,31.73273533713557,,7.886091753173108,-5.697225004020429,-3.5995931383278443,6.052086502744004,2.099193310727051,-5.078452189583335,6.116745145044453,6.356158896980716,,-2.6250791183486295,22.539115406217288,-1.2180761872573627,-15.91574049570104,11.465910992656708,12.309113206402902,-0.39674030872191796,56.78392707035932,,,,,,,,,,
